Unnamed: 0,city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
vila franca do campo,vila franca do campo,68.0,77,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vila franca do campo,37.72,-25.43,1603807976,16.11,PT
mackay,mackay,77.0,88,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mackay,-21.15,149.2,1603807882,10.29,AU
boca raton,boca raton,87.01,79,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=boca raton,26.36,-80.08,1603807954,11.41,US
grand junction,grand junction,14.0,78,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=grand junction,39.06,-108.55,1603807976,9.17,US
gazanjyk,gazanjyk,65.1,33,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=gazanjyk,39.24,55.52,1603807976,10.16,TM
susangerd,susangerd,91.4,14,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=susangerd,31.56,48.18,1603807976,4.7,IR
nikolskoye,nikolskoye,53.6,76,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nikolskoye,59.7,30.79,1603807976,6.71,RU
longyearbyen,longyearbyen,30.2,80,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=longyearbyen,78.22,15.64,1603807976,11.41,SJ
brokopondo,brokopondo,85.37,62,6,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=brokopondo,4.75,-55.17,1603807976,4.43,SR
yulara,yulara,73.4,19,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=yulara,-25.24,130.99,1603807976,6.93,AU
terney,terney,42.93,73,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=terney,45.05,136.61,1603807977,4.7,RU
teguldet,teguldet,35.47,91,94,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=teguldet,57.31,88.17,1603807977,5.41,RU
aykhal,aykhal,-7.6,83,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=aykhal,66.0,111.5,1603807977,2.24,RU
santa cruz,santa cruz,78.8,61,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=santa cruz,-17.8,-63.17,1603807953,3.36,BO
linjiang,linjiang,37.04,76,17,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=linjiang,41.81,126.91,1603807977,1.74,CN
lugovoy,lugovoy,52.09,45,88,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lugovoy,42.95,72.76,1603807977,8.12,KZ
waitara,waitara,48.99,94,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=waitara,-38.92,174.25,1603807778,11.99,NZ
karratha,karratha,71.4,85,44,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=karratha,-20.74,116.85,1603807978,8.66,AU
juegang,juegang,66.0,1,57,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=juegang,32.32,121.19,1603807978,1.01,CN
minab,minab,82.4,65,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=minab,27.15,57.08,1603807978,13.87,IR
padang,padang,78.89,75,81,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=padang,-0.95,100.35,1603807978,2.66,ID
antalaha,antalaha,77.72,72,3,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=antalaha,-14.9,50.28,1603807978,9.15,MG
nalut,nalut,79.61,20,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nalut,30.33,10.85,1603807978,14.07,LY
boden,boden,46.4,100,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=boden,65.83,21.69,1603807978,16.11,SE
northam,northam,55.99,84,99,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=northam,51.03,-4.22,1603807978,14.0,GB
labuhan,labuhan,81.16,76,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=labuhan,-6.88,112.21,1603807979,4.27,ID
riyadh,riyadh,87.8,20,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=riyadh,24.69,46.72,1603807916,3.36,SA
batagay,batagay,6.42,94,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=batagay,67.63,134.63,1603807929,1.97,RU
wageningen,wageningen,53.01,81,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=wageningen,51.97,5.67,1603807979,16.11,NL
qasigiannguit,qasigiannguit,19.4,73,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=qasigiannguit,68.82,-51.19,1603807979,3.36,GL
lompoc,lompoc,44.6,87,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lompoc,34.64,-120.46,1603807802,6.93,US
guarapari,guarapari,79.0,79,91,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=guarapari,-20.67,-40.5,1603807979,8.01,BR
evensk,evensk,24.98,82,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=evensk,61.95,159.23,1603807930,14.81,RU
westport,westport,54.0,71,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=westport,41.14,-73.36,1603807979,8.05,US
east london,east london,71.6,88,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=east london,-33.02,27.91,1603807980,9.17,ZA
tarauaca,tarauaca,91.18,49,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tarauaca,-8.16,-70.77,1603807938,4.05,BR
camacari,camacari,77.0,88,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=camacari,-12.7,-38.32,1603807943,9.17,BR
rawson,rawson,61.75,30,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rawson,-43.3,-65.1,1603807980,13.96,AR
prabumulih,prabumulih,74.95,94,86,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=prabumulih,-3.45,104.25,1603807980,3.18,ID
hokitika,hokitika,48.54,79,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hokitika,-42.72,170.97,1603807980,4.59,NZ
plainview,plainview,55.4,71,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=plainview,40.78,-73.47,1603807829,11.41,US
comodoro rivadavia,comodoro rivadavia,55.4,35,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=comodoro rivadavia,-45.87,-67.5,1603807776,31.09,AR
meulaboh,meulaboh,79.03,83,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=meulaboh,4.14,96.13,1603807980,4.68,ID
homer,homer,41.0,75,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=homer,59.64,-151.55,1603807980,4.7,US
qurayyat,qurayyat,89.6,5,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=qurayyat,31.33,37.34,1603807981,11.41,SA
yumen,yumen,40.03,57,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=yumen,40.28,97.2,1603807981,5.28,CN
nishihara,nishihara,75.2,53,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nishihara,26.18,127.76,1603807981,5.82,JP
chumikan,chumikan,37.89,77,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=chumikan,54.72,135.31,1603807981,13.2,RU
amsterdam,amsterdam,52.0,87,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=amsterdam,52.37,4.89,1603807922,18.34,NL
porosozero,porosozero,47.53,89,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=porosozero,62.72,32.73,1603807981,11.86,RU
port hawkesbury,port hawkesbury,50.0,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=port hawkesbury,45.62,-61.35,1603807900,11.41,CA
harrisonburg,harrisonburg,59.0,100,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=harrisonburg,38.45,-78.87,1603807981,4.7,US
hualmay,hualmay,67.26,72,74,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hualmay,-11.1,-77.61,1603807981,7.58,PE
aitape,aitape,78.69,80,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=aitape,-3.14,142.35,1603807981,1.99,PG
wuwei,wuwei,41.0,90,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=wuwei,37.93,102.64,1603807982,4.14,CN
tari,tari,96.46,11,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tari,12.41,4.49,1603807982,6.08,NG
khislavichi,khislavichi,49.89,78,18,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=khislavichi,54.19,32.16,1603807982,10.87,RU
salym,salym,22.35,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=salym,60.06,71.48,1603807982,14.67,RU
zabaykalsk,zabaykalsk,24.89,83,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=zabaykalsk,49.63,117.32,1603807982,13.58,RU
biu,biu,90.36,19,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=biu,10.61,12.19,1603807982,7.27,NG
axim,axim,81.57,82,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=axim,4.87,-2.24,1603807982,11.59,GH
phuntsholing,phuntsholing,70.56,67,6,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=phuntsholing,26.85,89.39,1603807982,5.75,BT
haines junction,haines junction,30.54,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=haines junction,60.75,-137.51,1603807982,2.75,CA
aginskoye,aginskoye,22.77,85,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=aginskoye,51.1,114.53,1603807926,7.11,RU
kargat,kargat,38.35,87,4,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kargat,55.2,80.28,1603807983,2.08,RU
ahuimanu,ahuimanu,77.0,83,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ahuimanu,21.44,-157.84,1603807983,2.64,US
tazmalt,tazmalt,71.6,37,40,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tazmalt,36.39,4.4,1603807983,6.93,DZ
nantucket,nantucket,55.4,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nantucket,41.28,-70.1,1603807851,19.46,US
delhi,delhi,78.8,44,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=delhi,28.67,77.22,1603807760,4.63,IN
tambopata,tambopata,72.93,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tambopata,-12.73,-69.18,1603807983,3.47,PE
simao,simao,63.72,82,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=simao,22.79,100.97,1603807983,2.19,CN
nuuk,nuuk,26.6,68,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nuuk,64.18,-51.72,1603807983,5.82,GL
saint-francois,saint-francois,55.99,66,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=saint-francois,46.42,3.91,1603807983,8.05,FR
yazman,yazman,80.53,15,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=yazman,29.12,71.74,1603807983,7.16,PK
lagoa da canoa,lagoa da canoa,81.45,61,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lagoa da canoa,-9.83,-36.74,1603807983,2.08,BR
