city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
albany,51.01,66,52,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=albany,42.6,-73.97,1603815971,5.61,US
gwadar,76.6,63,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=gwadar,25.12,62.33,1603815972,11.72,PK
sokoni,78.8,83,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=sokoni,-6.43,39.55,1603815972,14.92,TZ
rikitea,74.98,85,77,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=rikitea,-23.12,-134.97,1603815972,17.56,PF
tiksi,2.39,92,95,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tiksi,71.69,128.87,1603815972,7.49,RU
silver city,32.0,96,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=silver city,32.77,-108.28,1603815972,12.75,US
okhotsk,29.07,83,3,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=okhotsk,59.38,143.3,1603815972,8.88,RU
lahat,73.44,88,99,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=lahat,-3.8,103.53,1603815972,1.66,ID
bengkulu,76.33,86,94,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bengkulu,-3.8,102.27,1603815972,3.71,ID
padang,77.76,75,78,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=padang,-0.95,100.35,1603815972,3.89,ID
san patricio,57.2,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=san patricio,28.02,-97.52,1603815839,13.87,US
kaitangata,45.0,84,3,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kaitangata,-46.28,169.85,1603815965,3.13,NZ
alugan,79.32,83,77,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=alugan,12.22,125.48,1603815972,4.12,PH
alpena,37.4,86,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=alpena,45.06,-83.43,1603815972,5.82,US
coquimbo,57.2,76,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=coquimbo,-29.95,-71.34,1603815973,9.17,CL
kavieng,82.13,71,44,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kavieng,-2.57,150.8,1603815802,4.32,PG
pathein,76.19,91,7,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=pathein,16.78,94.73,1603815973,2.51,MM
labrea,101.59,33,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=labrea,-7.26,-64.8,1603815973,1.3,BR
villa rica,68.0,100,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=villa rica,33.73,-84.92,1603815973,3.36,US
duartina,87.8,52,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=duartina,-22.41,-49.4,1603815973,8.05,BR
marsabit,76.77,48,22,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=marsabit,2.33,37.99,1603815973,14.14,KE
pisco,68.0,72,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=pisco,-13.7,-76.22,1603815821,9.17,PE
amahai,81.0,92,51,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=amahai,-3.33,128.92,1603815973,2.98,ID
chokurdakh,7.63,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=chokurdakh,70.63,147.92,1603815848,2.89,RU
busselton,60.01,72,52,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=busselton,-33.65,115.33,1603815773,9.35,AU
arraial do cabo,82.4,69,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=arraial do cabo,-22.97,-42.03,1603815676,11.41,BR
auki,77.79,84,34,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=auki,-8.77,160.7,1603815974,2.68,SB
anadyr,12.2,85,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=anadyr,64.75,177.48,1603815974,6.71,RU
tuktoyaktuk,5.0,92,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tuktoyaktuk,69.45,-133.04,1603815974,8.05,CA
kuchaman,71.42,20,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kuchaman,27.15,74.85,1603815974,6.8,IN
vao,72.81,78,64,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vao,-22.67,167.48,1603815864,18.12,NC
leh,33.58,59,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=leh,34.17,77.58,1603815974,1.25,IN
kapaa,77.88,69,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kapaa,22.08,-159.32,1603815768,3.74,US
leiyang,63.63,78,12,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=leiyang,26.4,112.86,1603815974,3.24,CN
tessalit,94.05,10,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=tessalit,20.2,1.01,1603815974,9.8,ML
nizhniy kuranakh,13.32,95,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=nizhniy kuranakh,58.84,125.49,1603815975,5.1,RU
dingle,77.68,81,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=dingle,11.0,122.67,1603815975,3.83,PH
kristiinankaupunki,47.28,90,92,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kristiinankaupunki,62.27,21.38,1603815975,12.46,FI
